date,open,high,low,close,volume,average,barCount
2025-08-27 11:06:00-04:00,230.16,230.25,230.1,230.18,28039.0,230.161,213
2025-08-27 11:07:00-04:00,230.18,230.2,229.96,229.97,58014.0,230.109,261
2025-08-27 11:08:00-04:00,229.96,230.04,229.96,230.01,32357.0,229.998,171
2025-08-27 11:09:00-04:00,230.02,230.06,229.96,229.97,28105.0,230.005,143
2025-08-27 11:10:00-04:00,229.97,230.12,229.97,230.06,62524.0,230.058,426
2025-08-27 11:11:00-04:00,230.06,230.17,230.01,230.14,51391.0,230.107,304
2025-08-27 11:12:00-04:00,230.14,230.15,230.07,230.1,24688.0,230.103,169
2025-08-27 11:13:00-04:00,230.11,230.14,230.01,230.04,24006.0,230.079,128
2025-08-27 11:14:00-04:00,230.03,230.05,229.95,230.02,47337.0,229.987,175
2025-08-27 11:15:00-04:00,230.01,230.05,229.98,230.0,35437.0,230.01,213
2025-08-27 11:16:00-04:00,230.01,230.07,229.97,230.02,45360.0,230.013,263
2025-08-27 11:17:00-04:00,230.01,230.05,229.98,229.99,24065.0,230.015,122
2025-08-27 11:18:00-04:00,229.98,230.0,229.9,229.99,36593.0,229.952,212
2025-08-27 11:19:00-04:00,229.99,230.05,229.89,229.9,55510.0,229.99,283
2025-08-27 11:20:00-04:00,229.9,230.02,229.89,229.98,19766.0,229.974,95
2025-08-27 11:21:00-04:00,229.96,229.98,229.9,229.97,19718.0,229.952,115
2025-08-27 11:22:00-04:00,229.98,230.06,229.98,230.03,23860.0,230.023,135
2025-08-27 11:23:00-04:00,230.02,230.02,229.94,229.95,29954.0,229.976,164
2025-08-27 11:24:00-04:00,229.94,229.94,229.84,229.84,43431.0,229.872,219
2025-08-27 11:25:00-04:00,229.83,229.83,229.57,229.62,115246.0,229.681,609
2025-08-27 11:26:00-04:00,229.61,229.64,229.51,229.61,50089.0,229.588,280
2025-08-27 11:27:00-04:00,229.61,229.61,229.5,229.52,43577.0,229.558,177
2025-08-27 11:28:00-04:00,229.53,229.56,229.48,229.56,28947.0,229.518,166
2025-08-27 11:29:00-04:00,229.56,229.6,229.51,229.57,48327.0,229.561,254
2025-08-27 11:30:00-04:00,229.57,229.78,229.57,229.75,87595.0,229.673,404
2025-08-27 11:31:00-04:00,229.76,229.78,229.56,229.57,34763.0,229.69,209
2025-08-27 11:32:00-04:00,229.57,229.61,229.5,229.55,44993.0,229.548,186
2025-08-27 11:33:00-04:00,229.55,229.59,229.45,229.53,29825.0,229.522,150
2025-08-27 11:34:00-04:00,229.52,229.56,229.49,229.52,37127.0,229.515,216
2025-08-27 11:35:00-04:00,229.55,229.65,229.54,229.64,22719.0,229.609,120
2025-08-27 11:36:00-04:00,229.64,229.66,229.56,229.61,25554.0,229.607,137
2025-08-27 11:37:00-04:00,229.61,229.7,229.59,229.7,30717.0,229.643,159
2025-08-27 11:38:00-04:00,229.69,229.74,229.66,229.74,40095.0,229.705,211
2025-08-27 11:39:00-04:00,229.74,229.84,229.72,229.82,36479.0,229.792,243
2025-08-27 11:40:00-04:00,229.82,229.84,229.3,229.72,300080.0,229.576,1840
2025-08-27 11:41:00-04:00,229.73,229.73,229.5,229.53,28197.0,229.581,182
2025-08-27 11:42:00-04:00,229.55,229.67,229.53,229.54,28907.0,229.603,145
2025-08-27 11:43:00-04:00,229.54,229.7,229.54,229.64,22185.0,229.635,102
2025-08-27 11:44:00-04:00,229.64,229.79,229.62,229.79,21222.0,229.707,132
2025-08-27 11:45:00-04:00,229.77,229.78,229.72,229.77,14212.0,229.757,88
2025-08-27 11:46:00-04:00,229.79,229.84,229.75,229.83,17512.0,229.785,121
2025-08-27 11:47:00-04:00,229.83,229.97,229.79,229.96,32104.0,229.894,166
2025-08-27 11:48:00-04:00,229.95,230.01,229.9,229.98,49522.0,229.984,208
2025-08-27 11:49:00-04:00,229.99,230.06,229.95,230.05,27123.0,230.003,144
2025-08-27 11:50:00-04:00,230.06,230.06,229.96,229.96,19930.0,230.01,102
2025-08-27 11:51:00-04:00,229.96,229.99,229.88,229.97,21886.0,229.939,112
2025-08-27 11:52:00-04:00,229.98,229.98,229.79,229.86,28841.0,229.878,156
2025-08-27 11:53:00-04:00,229.86,229.88,229.83,229.85,32124.0,229.854,107
2025-08-27 11:54:00-04:00,229.85,229.88,229.75,229.83,26229.0,229.814,145
2025-08-27 11:55:00-04:00,229.84,229.85,229.8,229.83,21988.0,229.829,98
2025-08-27 11:56:00-04:00,229.84,229.91,229.81,229.89,22460.0,229.859,139
2025-08-27 11:57:00-04:00,229.91,229.92,229.83,229.85,17764.0,229.87,93
2025-08-27 11:58:00-04:00,229.85,229.94,229.84,229.92,13941.0,229.905,75
2025-08-27 11:59:00-04:00,229.92,229.96,229.91,229.92,15634.0,229.934,87
2025-08-27 12:00:00-04:00,229.92,229.97,229.89,229.92,17296.0,229.939,112
2025-08-27 12:01:00-04:00,229.92,229.98,229.88,229.97,20586.0,229.93,97
2025-08-27 12:02:00-04:00,229.95,229.99,229.9,229.98,14323.0,229.951,88
2025-08-27 12:03:00-04:00,229.97,229.98,229.91,229.92,12804.0,229.956,69
2025-08-27 12:04:00-04:00,229.93,230.06,229.93,229.96,46686.0,230.0,261
2025-08-27 12:05:00-04:00,229.97,229.99,229.94,229.97,13555.0,229.97,76
2025-08-27 12:06:00-04:00,229.95,230.01,229.92,229.99,27475.0,229.983,112
2025-08-27 12:07:00-04:00,230.0,230.04,229.99,229.99,12738.0,230.008,91
2025-08-27 12:08:00-04:00,229.99,230.08,229.98,230.08,18513.0,230.019,100
2025-08-27 12:09:00-04:00,230.08,230.09,230.0,230.01,25790.0,230.05,125
2025-08-27 12:10:00-04:00,230.01,230.04,229.94,230.03,20210.0,229.982,106
2025-08-27 12:11:00-04:00,230.03,230.06,230.0,230.03,21312.0,230.022,81
2025-08-27 12:12:00-04:00,230.02,230.06,230.0,230.02,12647.0,230.033,90
2025-08-27 12:13:00-04:00,230.01,230.04,229.95,229.98,24676.0,229.989,146
2025-08-27 12:14:00-04:00,229.97,230.0,229.9,229.93,31547.0,229.942,159
2025-08-27 12:15:00-04:00,229.94,229.95,229.85,229.87,35341.0,229.896,235
2025-08-27 12:16:00-04:00,229.86,229.88,229.81,229.88,20771.0,229.848,117
2025-08-27 12:17:00-04:00,229.87,229.93,229.79,229.8,32651.0,229.869,150
2025-08-27 12:18:00-04:00,229.79,229.92,229.79,229.89,35834.0,229.853,204
2025-08-27 12:19:00-04:00,229.89,229.89,229.78,229.79,15436.0,229.816,103
2025-08-27 12:20:00-04:00,229.8,229.84,229.76,229.77,20725.0,229.798,122
2025-08-27 12:21:00-04:00,229.75,229.86,229.75,229.82,20375.0,229.812,123
